Instrument,Issuer Name,Industry Sub Sector Description,Country Name,Issuer Country Name,Issue Date,Maturity Date,Preferred RIC,Amount Outstanding,Coupon,FRN Index,Coupon Frequency,Coupon Type Description,Coupon Effective Date,Issuer Rating,Fitchs Rating,Moodys Rating,SP Rating,Price,Yield To Maturity,ISMA Bid Yield,ISMA Ask Yield,Yield To Maturity,Z-Spread,Call Type Description,PUTCALLIND,Option Adjusted Spread,Option Adjusted Spread Bid,Option Value,Option Adjusted Spread,Price (-25bp),Effective Duration,DV01,Convexity,Spread Duration,Price (+25bp),ZC Volatility,Zero Option Adjusted Price,Option Adjusted Convexity,Exercise Type,Duration,Modified Duration,Convexity,Make Whole Call Flag
US34540TWB42,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-19,2022-12-20,34540TWB4=,10506000.0,3.1,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-19,,,Ba1,BBB-,99.1945,3.390214,3.42,3.37,3.390214,178.002724,Ordinary Call,,159.993965,163.5,0.018059,179.999652,99.778774,2.522011,0.025071,-1.368315,2.522011,98.525211,180.654811,,,,2.8177,2.771,9.2306,
US3454G0C558,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-12,2020-03-05,3454G0C55=,,0.0,,,Fixed: Discount,2019-12-12,,,,,99.6466,2.30805,2.34,2.24,2.30805,49.083783,,,52.797881,57.7,0.0,83.354607,99.683704,0.153995,0.001535,0.000957,0.153995,99.609556,83.354607,,,,0.1444,0.1456,-0.0296,
US3454G0L559,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-10,2020-11-05,3454G0L55=,,0.0,,,Fixed: Discount,2019-12-10,,,,,97.6503,2.866939,2.89,2.79,2.866939,114.942913,,,108.4074,119.8,0.0,138.082339,97.848255,0.825417,0.00806,0.010543,0.825417,97.452989,138.082339,,,,0.825,0.8175,0.9335,
US34540TWA68,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-12,2029-12-20,34540TWA6=,14908000.0,5.0,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-12,,,Ba1,BBB-,101.0968,4.858757,3.78,3.34,4.858757,188.06647,Ordinary Call,,180.797843,195.0,6.634416,223.408651,101.327283,0.949783,0.009644,-0.334765,0.949783,100.845072,304.737311,,,,0.9179,0.9018,1.2622,
US34540TVZ29,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-12,2024-12-20,34540TVZ2=,7793000.0,3.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-12,,,Ba1,BBB-,99.6962,3.917518,3.95,3.9,3.917518,229.910687,Ordinary Call,,183.321684,188.6,0.379617,220.002161,100.223341,2.700579,0.027016,-4.742586,2.700579,98.872533,228.534095,,,,4.5224,4.4361,22.9607,
US34540TVY53,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-05,2029-12-20,34540TVY5=,6538000.0,4.9,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-05,,,Ba1,BBB-,99.8385,4.919761,4.98,4.93,4.919761,321.03012,Ordinary Call,,247.643295,251.5,1.632378,289.994883,100.495677,3.42126,0.034339,-6.417797,3.42126,98.778729,310.803517,,,,7.9382,7.7481,72.8867,
US34540TVX70,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-05,2021-12-20,34540TVX7=,12348000.0,2.9,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-05,,,Ba1,BBB-,99.4057,3.217913,3.24,3.19,3.217913,158.013654,Ordinary Call,,147.988348,150.9,0.003778,165.018203,99.8253,1.760756,0.017558,-0.621121,1.760756,98.947388,165.221992,,,,1.8862,1.8566,4.4095,
US34540TVU32,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-21,2024-11-20,34540TVU3=,7674000.0,3.95,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-21,,,Ba1,BBB-,99.9159,3.968337,4.01,3.96,3.968337,236.460598,Ordinary Call,,186.133779,189.4,0.607024,219.992762,100.32931,2.169184,0.0218,-4.189851,2.169184,99.239322,233.82693,,,,4.4336,4.3476,22.1463,
US34540TVT68,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-21,2022-11-20,34540TVT6=,7614000.0,3.25,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-21,,,Ba1,BBB-,99.5623,3.41144,3.44,3.39,3.41144,179.692644,Ordinary Call,,155.48462,159.5,0.065905,179.963747,100.023796,2.140998,0.021419,-2.366112,2.140998,98.952861,182.412499,,,,2.7298,2.6843,8.7215,
US3454G0LH97,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-19,2020-11-17,3454G0LH9=,,0.0,,,Fixed: Discount,2019-11-19,,,,,97.4157,3.037917,3.07,2.97,3.037917,132.993659,,,125.511371,137.8,0.0,155.572029,97.620912,0.857093,0.008349,0.011219,0.857093,97.211171,155.572029,,,,0.8583,0.8492,1.024,
US3454G0LC01,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-19,2020-11-12,3454G0LC0=,,0.0,,,Fixed: Discount,2019-11-19,,,,,97.4658,3.026074,3.06,2.95,3.026074,131.640486,,,124.20914,136.5,0.0,154.344257,97.667835,0.843743,0.008224,0.010928,0.843743,97.264431,154.344257,,,,0.8444,0.8358,0.9855,
US34540TVV15,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-29,2023-11-20,34540TVV1=,7531000.0,3.5,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-29,,,Ba1,BBB-,99.2148,3.720154,3.75,3.7,3.720154,211.388425,Ordinary Call,,185.014611,189.1,0.077424,209.997367,99.848125,2.905043,0.028949,-2.903245,2.905043,98.400654,212.183499,,,,3.6163,3.5507,14.8592,
US34540TVW97,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-29,2029-11-20,34540TVW9=1M,12904000.0,4.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-29,,,Ba1,BBB-,,,,,,338.543845,Ordinary Call,,291.406233,,,,,,,,,,,,,,7.8758,7.6808,71.6788,
US3454G0CC02,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-18,2020-03-12,3454G0CC0=,,0.0,,,Fixed: Discount,2019-11-18,,,,,99.5842,2.409884,2.45,2.35,2.409884,59.663591,,,61.231502,66.1,0.0,93.838221,99.625979,0.173573,0.001729,0.001109,0.173573,99.54249,93.838221,,,,0.1639,0.1652,-0.0271,
XS2083139670,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,Eurobond,United States,2019-11-25,2025-11-25,,1000000.0,0.1,,1.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS2083139837,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,Eurobond,United States,2019-12-03,2024-12-03,US208313983=,150000000.0,3.683,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-03,,BBB,Ba1,BBB-,101.244,3.403827,3.16,2.86,3.403827,251.444512,,,239.826908,214.52,0.0,254.404102,102.376376,4.425091,0.044988,0.22822,4.425091,100.126126,254.404102,,,,4.4977,4.4223,22.7815,
US34540TVR03,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-15,2024-11-20,34540TVR0=,7230000.0,3.8,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-15,,,Ba1,BBB-,99.5513,3.9014,3.94,3.89,3.9014,228.327674,Ordinary Call,,185.620458,190.7,0.310653,220.026462,100.113017,2.825903,0.028308,-4.663534,2.825903,98.697605,227.121097,,,,4.4449,4.3604,22.2429,
US34540TVS85,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-15,2029-11-20,34540TVS8=,,4.95,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-15,,,Ba1,BBB-,99.9558,4.954752,5.02,4.96,4.954752,325.501728,Ordinary Call,,250.730205,253.8,1.906359,289.995523,100.518045,2.979723,0.030026,-5.982882,2.979723,99.016756,314.437724,,,,7.8486,7.659,71.4541,
US3454G0CD84,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-06,2020-03-13,3454G0CD8=,,0.0,,,Fixed: Discount,2019-11-06,,,,,99.5718,2.442466,2.48,2.38,2.442466,63.098103,,,64.243547,69.2,0.0,97.202802,99.614241,0.176379,0.001756,0.001131,0.176379,99.529429,97.202802,,,,0.1667,0.168,-0.0266,
US34540TVQ20,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-07,2023-11-20,34540TVQ2=,13400000.0,3.75,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-07,,,Ba1,BBB-,99.8465,3.791689,3.83,3.78,3.791689,218.976707,Ordinary Call,,176.786043,181.6,0.332689,209.993865,100.248476,2.052909,0.020641,-3.629675,2.052909,99.216434,219.350383,,,,3.5944,3.5279,14.7358,
US3454G0AW83,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-30,2020-01-30,3454G0AW8=,,0.0,,,Fixed: Discount,2019-10-30,,,,,99.8698,2.333048,2.37,2.27,2.333048,57.368923,,,58.244996,76.9,0.0,86.215514,99.883319,0.05613,0.000561,0.000297,0.05613,99.856299,86.215514,,,,0.0472,0.0477,-0.019,
US345397ZX44,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-11-01,2024-11-01,345397ZX4=,1500000000.0,4.063,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-01,,BBB,Ba1,BBB-,102.1047,3.580609,3.6,3.55,3.580609,195.143409,Ordinary Call,,191.206067,193.5,0.018997,194.773182,103.206379,4.26031,0.043851,0.168182,4.26031,101.01384,195.202109,,,,4.3056,4.2305,21.0493,
US3454G0JE94,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-18,2020-09-14,3454G0JE9=,,0.0,,,Fixed: Discount,2019-10-18,,,,,98.0096,2.926555,2.96,2.86,2.926555,119.607988,,,113.065957,125.1,0.0,144.13046,98.173762,0.685057,0.006714,0.007772,0.685057,97.845915,144.13046,,,,0.6806,0.677,0.5829,
US3454G0AX66,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-18,2020-01-31,3454G0AX6=,,0.0,,,Fixed: Discount,2019-10-18,,,,,99.8631,2.336427,2.38,2.27,2.336427,57.324779,,,58.519495,76.9,0.0,86.558241,99.877294,0.058934,0.000589,0.000313,0.058934,99.848926,86.558241,,,,0.05,0.0505,-0.0199,
US3454G0GA00,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-16,2020-07-10,3454G0GA0=,,0.0,,,Fixed: Discount,2019-10-16,,,,,98.6191,2.75078,2.79,2.69,2.75078,99.570048,,,93.843355,105.0,0.0,126.322707,98.740399,0.505432,0.004985,0.004837,0.505432,98.498099,126.322707,,,,0.4972,0.4972,0.2491,
US3454G0K809,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-10,2020-10-08,3454G0K80=,,0.0,,,Fixed: Discount,2019-10-10,,,,,97.7736,2.991434,3.02,2.92,2.991434,127.021252,,,119.94046,132.2,0.0,150.601442,97.953173,0.749783,0.007331,0.008993,0.749783,97.594577,150.601442,,,,0.7472,0.7418,0.735,
US3454G0K239,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-04,2020-10-02,3454G0K23=,,0.0,,,Fixed: Discount,2019-10-04,,,,,97.8334,2.97505,3.01,2.91,2.97505,125.159008,,,118.206661,130.4,0.0,148.971408,98.00913,0.733633,0.007177,0.00868,0.733633,97.658201,148.971408,,,,0.7306,0.7256,0.6955,
US3454G0FS27,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-10-01,2020-06-26,3454G0FS2=,,0.0,,,Fixed: Discount,2019-10-01,,,,,98.741,2.713844,2.75,2.65,2.713844,95.341296,,,89.325205,100.3,0.0,122.80099,98.853122,0.467044,0.004612,0.004295,0.467044,98.629143,122.80099,,,,0.4583,0.4588,0.1946,
US3454G0JJ81,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-25,2020-09-18,3454G0JJ8=,,0.0,,,Fixed: Discount,2019-09-25,,,,,97.9708,2.937329,2.97,2.87,2.937329,120.833399,,,114.201451,126.3,0.0,145.208388,98.137537,0.695868,0.006817,0.007969,0.695868,97.804551,145.208388,,,,0.6917,0.6878,0.6072,
US34540TVP47,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-26,2026-09-20,34540TVP4=,8286000.0,4.6,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-09-26,,,Ba1,BBB-,100.1731,4.568704,4.38,4.33,4.568704,259.235144,Ordinary Call,,222.077137,223.1,1.412906,259.98239,100.481514,1.827615,0.01856,-4.902624,1.827615,99.553514,284.522523,,,,0.6697,0.6556,0.7558,
US34540TVN98,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-26,2023-09-20,34540TVN9=,8496000.0,3.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-09-26,,,Ba1,BBB-,100.0473,3.83499,3.81,3.76,3.83499,202.275218,Ordinary Call,,177.497465,178.5,0.481048,209.963192,100.314578,1.522075,0.015404,-3.725319,1.522075,99.54439,224.047697,,,,0.6714,0.6591,0.7622,
US34540XAB91,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-26,2022-10-07,34540XAB9=,600000000.0,3.55,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-09-26,,BBB,Ba1,BBB-,101.2553,3.065672,3.09,3.04,3.065672,144.068044,,,142.090154,147.1,0.0,148.393993,101.913005,2.562027,0.026215,0.080371,2.562027,100.602735,148.393993,,,,2.5986,2.5597,8.0293,
US3454G0JA72,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-16,2020-09-10,3454G0JA7=,,0.0,,,Fixed: Discount,2019-09-16,,,,,98.0482,2.915776,2.95,2.85,2.915776,118.382269,,,111.930074,123.9,0.0,143.050618,98.209784,0.674237,0.006611,0.007576,0.674237,97.887081,143.050618,,,,0.6694,0.6662,0.5592,
XS2052337412,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,Eurobond,United States,2019-09-27,2024-09-15,XS2052337412=TE,100000000.0,0.1,,0.0,Fixed: Pay only at Maturity,2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS2052337503,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,Eurobond,United States,2019-11-25,2025-11-25,US205233750=,600000000.0,2.33,,1.0,Fixed:Plain Vanilla Fixed Coupon,2019-11-25,,BBB,Ba1,BBB-,102.05,1.956052,1.96,1.91,1.956052,203.821105,,,203.727293,206.81,0.0,240.617651,103.464161,5.429891,0.055585,0.338639,5.429891,100.657505,240.617651,,,,5.5336,5.4288,35.8585,
US34540TVM16,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-06,2029-09-20,34540TVM1=,19541000.0,4.6,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-09-06,,,Ba1,BBB-,98.5413,4.788998,4.84,4.79,4.788998,306.753372,Ordinary Call,,254.673213,260.1,0.612805,289.999729,99.644249,5.176331,0.051855,-6.178574,5.176331,97.051507,298.03028,,,,7.7791,7.5981,70.2621,
US34540TVL33,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-09-06,2023-09-20,34540TVL3=,20205000.0,3.35,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-09-06,,,Ba1,BBB-,98.7971,3.701051,3.73,3.68,3.701051,209.644538,Ordinary Call,,190.332849,193.7,0.021551,209.995722,99.537975,3.128824,0.031285,-1.319779,3.128824,97.973748,210.631353,,,,3.4515,3.3892,13.6624,
US3454G0BM92,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-29,2020-02-21,3454G0BM9=,,0.0,,,Fixed: Discount,2019-08-29,,,,,99.7204,2.389022,2.43,2.33,2.389022,58.550105,,,63.913459,72.0,0.0,91.842864,99.748742,0.11773,0.001174,0.00069,0.11773,99.692101,91.842864,,,,0.1083,0.1093,-0.0301,
US34540TVJ86,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-29,2021-08-20,34540TVJ8=,22778000.0,2.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-29,,,Ba1,BBB-,99.687,3.05095,3.08,3.03,3.05095,139.113588,Ordinary Call,,129.246876,132.8,0.010544,149.99043,99.986504,1.339388,0.013495,-1.202877,1.339388,99.311748,150.672227,,,,1.5564,1.5332,3.1503,
US34540TVH21,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-22,2029-08-20,34540TVH2=,20456000.0,4.7,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-22,,,Ba1,BBB-,99.0863,4.819436,4.87,4.82,4.819436,310.156005,Ordinary Call,,254.827627,259.9,0.857882,289.99978,99.967951,4.449534,0.044914,-7.646228,4.449534,97.722267,301.281688,,,,7.6826,7.5028,68.7616,
US34540TVG48,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-22,2023-08-20,34540TVG4=,14701000.0,3.35,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-22,,,Ba1,BBB-,98.8199,3.702441,3.73,3.68,3.702441,209.987458,Ordinary Call,,193.876967,196.9,0.025664,210.001076,99.544925,3.050189,0.030545,-1.233435,3.050189,98.017676,210.774079,,,,3.373,3.3121,13.0933,
US3454G0BD93,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-22,2020-02-13,3454G0BD9=,,0.0,,,Fixed: Discount,2019-08-22,,,,,99.7754,2.369435,2.41,2.31,2.369435,57.661427,,,61.904002,74.1,0.0,89.87769,99.798358,0.095349,0.000951,0.000539,0.095349,99.752476,89.87769,,,,0.0861,0.0869,-0.0279,
US3454G0HD30,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-15,2020-08-13,3454G0HD3=,,0.0,,,Fixed: Discount,2019-08-15,,,,,98.3124,2.840773,2.88,2.77,2.840773,109.865051,,,103.962505,115.6,0.0,135.4951,98.455865,0.598253,0.005882,0.006271,0.598253,98.16932,135.4951,,,,0.5917,0.5901,0.4055,
US34540TVF64,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-15,2026-08-20,34540TVF6=,20898000.0,4.0,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-15,,,Ba1,BBB-,98.7734,4.214204,4.26,4.2,4.214204,256.28473,Ordinary Call,,220.036516,224.2,0.257695,244.994818,99.683113,4.218879,0.04237,-4.764568,4.218879,97.564625,249.535213,,,,5.7625,5.6443,37.6454,
US34540TVE99,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-15,2022-08-20,34540TVE9=,11484000.0,2.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-15,,,Ba1,BBB-,98.7948,3.336974,3.36,3.31,3.336974,171.536195,Ordinary Call,,162.277381,165.3,0.000703,174.997787,99.391221,2.41591,0.024153,-0.236906,2.41591,98.183576,175.026383,,,,2.492,2.4514,7.3931,
US34540TVD17,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-08,2029-08-20,34540TVD1=,20060000.0,4.85,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-08,,,Ba1,BBB-,99.6369,4.897138,4.96,4.9,4.897138,318.315202,Ordinary Call,,252.323722,260.2,1.459045,289.999963,100.238135,3.27241,0.033293,-7.268517,3.27241,98.573484,309.123378,,,,7.6236,7.4423,68.033,
US34540TVC34,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-08,2024-08-20,34540TVC3=,20343000.0,3.8,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-08,,,Ba1,BBB-,99.5933,3.896609,3.93,3.88,3.896609,228.377786,Ordinary Call,,191.343256,195.9,0.322064,219.987114,100.083357,2.533571,0.02565,-4.778812,2.533571,98.800864,227.704769,,,,4.192,4.1124,20.0308,
US3454G0GT90,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-02,2020-07-27,3454G0GT9=,,0.0,,,Fixed: Discount,2019-08-02,,,,,98.4677,2.795598,2.83,2.73,2.795598,104.702895,,,98.985187,110.4,0.0,130.90337,98.600104,0.551916,0.005435,0.005534,0.551916,98.335636,130.90337,,,,0.5444,0.5437,0.3231,
US3454G0GP78,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-01,2020-07-23,3454G0GP7=,,0.0,,,Fixed: Discount,2019-08-01,,,,,98.5037,2.784971,2.82,2.72,2.784971,103.498478,,,97.799737,109.2,0.0,129.818014,98.633495,0.540991,0.005329,0.005366,0.540991,98.374235,129.818014,,,,0.5333,0.5328,0.3049,
US345397ZW60,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-01,2026-08-01,345397ZW6=,750000000.0,4.542,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-01,,BBB,Ba1,BBB-,102.7306,4.062476,4.09,4.04,4.062476,240.279871,Ordinary Call,,234.806233,236.9,0.048851,233.53928,104.16777,5.448842,0.057097,0.297721,5.448842,101.312928,234.382506,,,,5.5101,5.4013,34.8313,
US345397ZU05,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-08-01,2022-11-01,345397ZU0=,1250000000.0,3.35,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-08-01,,BBB,Ba1,BBB-,101.004,2.97217,2.99,2.94,2.97217,134.700104,,,132.756058,137.8,0.0,138.762252,101.677504,2.637919,0.026823,0.084644,2.637919,100.335876,138.762252,,,,2.6744,2.6356,8.4459,
US3454G0B642,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-07-15,2020-02-06,3454G0B64=,,0.0,,,Fixed: Discount,2019-07-15,,,,,99.8229,2.351696,2.39,2.29,2.351696,57.270457,,,60.088008,75.8,0.0,88.094484,99.841141,0.075747,0.000756,0.000414,0.075747,99.804685,88.094484,,,,0.0667,0.0673,-0.0242,
US3454G0CX49,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-07-11,2020-03-31,3454G0CX4=,,0.0,,,Fixed: Discount,2019-07-11,,,,,99.4397,2.488769,2.53,2.43,2.488769,68.630915,,,65.398555,71.5,0.0,101.837804,99.494185,0.226524,0.002253,0.001561,0.226524,99.385312,101.837804,,,,0.2167,0.2181,-0.0126,
US3454G0CL01,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-06-25,2020-03-20,3454G0CL0=,,0.0,,,Fixed: Discount,2019-06-25,,,,,99.5209,2.460667,2.5,2.4,2.460667,65.183229,,,64.265898,69.6,0.0,99.026648,99.568029,0.195894,0.00195,0.001293,0.195894,99.473851,99.026648,,,,0.1861,0.1875,-0.0223,
